"purchase","nTab","moCbook","iRecMer1","propSpec","recW4","moShoe","nWoApp","nMen","llDol"
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.028173707,0,50,42.115637319,2,1,-2.302585093
0,0,50,0.1129750594,0,50,50,1,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0216741192,0.68,50,50,1,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,12,9.8226018397,0.154958257,0,50,17.805519054,19,0,5.7898684236
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,8,50,0.2886949924,0.1965352228,50,16.458607096,11,1,5.1930679558
0,4,50,0.0216586976,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,5,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0581537521,0.68,50,16.195795007,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0403478076,0,50,50,2,0,-2.302585093
0,2,50,0.0671312632,0,50,50,1,2,-2.302585093
0,4,50,0.0381243425,0.68,50,50,4,0,-2.302585093
0,4,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.4581577363,0.4942648824,50,20.006570302,35,0,-2.302585093
1,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,2,50,0.0196078431,0.68,50,50,0,0,5.45954296
0,2,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.1573614557,0,15.045992116,0.7227332457,9,1,-2.302585093
0,1,50,0.0352543315,0.68,50,27.365308804,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.1023399677,0,50,12.976346912,8,1,-2.302585093
0,1,50,0.0666900359,0.68,50,50,2,0,-2.302585093
0,11,50,0.4798234552,0,50,18.889618922,22,0,4.19056342
0,0,50,0.0196078431,0,50,13.107752957,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,11,50,0.1077751027,0.68,50,50,13,0,4.6264423213
0,2,50,0.1077751027,0,50,50,3,1,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,6,50,0.2465975373,0.2533171532,50,50,15,0,-2.302585093
0,0,50,0.0378870855,0,26.314060447,27.890932983,26,0,-2.302585093
0,4,21.846254928,0.0729206593,0,50,50,7,1,3.5576311675
1,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0366111806,0.68,26.314060447,50,5,0,-2.302585093
0,0,50,0.0196078431,1,50,50,0,1,-2.302585093
0,2,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0368326799,0.68,50,50,2,0,4.383026135
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.1474520442,0,50,50,1,1,-2.302585093
0,0,50,0.0196078431,1,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.6554694229,0,50,50,2,0,-2.302585093
0,0,50,0.0224080563,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,3,0,-2.302585093
0,1,50,0.0337681931,0.68,50,28.613666229,5,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0971158754,0,50,1.544021025,1,1,-2.302585093
0,7,45.532194481,0.0270471993,0.68,35.972404731,35.972404731,10,0,4.3827763536
0,1,50,0.2781432749,0.600060006,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.1775548297,0,50,50,7,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,24,18.561103811,0.3784186972,0,50,1.6425755585,13,3,4.127618139
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,1,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,6,46.024967148,0.1151111783,0,11.662286465,11.662286465,19,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,7,45.400788436,0.2614221917,0,50,41.557161629,6,0,4.383026135
0,2,50,0.0259629491,0,50,50,1,0,-2.302585093
1,3,50,0.4321408291,0,2.332457293,50,18,1,-2.302585093
1,13,20.860709593,0.5591476855,0,0.7884362681,31.668856767,18,2,4.0267792427
0,0,50,0.0243434311,0,40.078843627,50,2,10,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,1,50,0.040725677,0.68,50,50,12,0,-2.302585093
0,1,50,0.0217982871,0.68,50,50,2,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0,50,50,0,0,-2.302585093
0,7,50,0.1668493751,1,50,27.956636005,80,1,4.4315308296
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,23.784494087,0,0,-2.302585093
0,0,50,0.1828887287,0.7301762115,50,4.4678055191,7,0,-2.302585093
0,11,50,0.4321408291,0,50,1.6754270696,41,0,5.9658646481
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,5,50,0.1026851977,0,8.7385019711,50,7,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,0,50,0.0196078431,0.68,50,50,0,0,-2.302585093
0,1,50,0.3930785124,0,50,50,2,0,-2.302585093
0,2,50,0.0331792815,0.68,29.139290407,50,2,0,-2.302585093
0,1,50,0.0804354719,0.68,50,50,2,0,-2.302585093
